,Air_fuel_ratio,System_efficiency
0,35.1316,0.3808
1,40.3764,0.38686
2,47.462,0.393
3,57.5639,0.39949
4,73.1286,0.40612
5,49.111,0.4023
6,56.4428,0.40605
7,66.3479,0.4098
8,80.4695,0.413
9,102.2276,0.4175
10,63.0904,0.4154
11,72.5092,0.4175
12,85.2338,0.4197
13,103.375,0.42192
14,131.3266,0.4242
15,34.273,0.3952
16,38.99026,0.4012
17,45.2133,0.4073
18,53.8,0.4136
19,66.413,0.4201
20,47.922,0.4178
21,54.518,0.4215
22,63.22,0.4252
23,75.226,0.429
24,92.862,0.4329
25,61.572,0.4315
26,70.0468,0.43373
27,81.226,0.43597
28,96.653,0.4382
29,119.3124,0.44045
30,33.4521,0.40913
31,37.6911,0.415
32,43.1602,0.4209
33,50.4858,0.4271
34,60.8067,0.4334
35,46.7865,0.4328
36,52.7151,0.43646
37,60.36425,0.44016
38,70.6099,0.443926
39,85.0447,0.4477
40,60.1208,0.44721
41,67.7391,0.4494
42,77.5683,0.4516
43,90.7341,0.4538
44,109.2828,0.456
45,32.4123,0.42694
46,36.0807,0.4325
47,40.6854,0.4383
48,46.6374,0.4442
49,54.6293,0.4503
50,45.3472,0.4519
51,50.4796,0.4555
52,56.9219,0.4591
53,65.2492,0.4628
54,76.4304,0.4665
55,58.2822,0.4672
56,64.8785,0.4693
57,73.1584,0.4715
58,83.861,0.4738
59,98.2316,0.476
